subject,vviq_sum,irq_visual_mean,irq_verbal_mean,osviq_object_mean,osviq_verbal_mean,vviq_z,irq_visual_z,irq_verbal_z,irq_ortho_z,irq_manipulation_z,osviq_object_z,osviq_spatial_z,osviq_verbal_z,match_effect_rt,match_effect_accuracy
kn5aafdw,72.0,4.5,3.8333333333333335,4.133333333333334,2.3333333333333335,1.7306691943662054,0.9833307957985519,-0.020053475837616346,-0.8835883497271723,0.8960736125508465,0.9541309191015717,1.3347172924375605,-1.35063124439191,50.71264367816093,0.0
kqf1cndt,60.0,4.3,3.5833333333333335,3.0,2.8666666666666667,0.7203466656712911,0.7133797909128082,-0.3609625650771057,-0.5528590051301522,0.5601745751631825,-0.6437622969815754,-0.9984571376020265,-0.4432275743063139,43.743678160919444,0.0011494252873562871
ktyh9fyv,25.0,1.8,2.75,2.8,4.066666666666666,-2.226427376355543,-2.661007770158984,-1.4973261958754038,-1.3796823666227025,-2.630866280019626,-0.9257434527609545,-1.528724053520114,1.5984306833862776,53.814814814814895,0.0
kvlxl76b,49.0,3.0,3.5,3.0,3.7333333333333334,-0.2057823189657139,-1.0413017408445235,-0.4745989281569357,-0.056764988234621595,-0.6154720556936416,-0.6437622969815754,-0.5742436048675562,1.0313033895827803,73.39999999999998,-0.03448275862068961
lr0emfyy,53.0,2.8,2.6666666666666665,2.4666666666666663,3.4,0.1309918572659243,-1.3112527457302672,-1.610962558955234,-1.0489530220256822,-1.6231691678566338,-1.3957120457265855,-0.4681902216839383,0.46417609577928226,45.616666666666674,0.030952380952380953
m0pbefnf,28.0,2.4,3.0,1.8,2.8,-1.9738467441818144,-1.8511547555017538,-1.1564171066359146,-1.7104117112197226,-0.6154720556936416,-2.335649231657848,0.8044503765194724,-0.5566530330670137,68.77777777777783,0.07407407407407407
m85ewdm8,39.0,3.4,4.166666666666667,2.8,2.6,-1.0477177595448093,-0.5013997310730368,0.43449197648170307,0.6046937009594185,-0.2795730183059776,-0.9257434527609545,-0.6802969880511734,-0.8969294093491119,-57.24827586206891,0.033333333333333326
m9p4429p,55.0,4.0,4.5,3.7333333333333334,2.6666666666666665,0.29937894538174337,0.3084532835841934,0.8890374288010219,1.431517062451969,1.2319726499385106,0.3901686075428136,0.8044503765194724,-0.7835039505884128,43.56436781609193,0.033333333333333326
mj8d8c02,66.0,4.1,4.916666666666667,4.2,3.8,1.2255079300187484,0.4434287860270646,1.4572192442001712,1.2661523901534593,-0.6154720556936416,1.0481246376946975,-1.1045105207856438,1.1447288483434794,33.363218390804604,-0.03448275862068961
muok5jft,44.0,3.7,4.583333333333333,3.533333333333333,2.8,-0.6267500392552617,-0.09647322374442144,1.0026737918808513,0.9354230455564391,0.5601745751631825,0.10818745176343454,-0.04397668894946807,-0.5566530330670137,270.5919540229885,-0.03448275862068961
